name
"Maganini,  Quinto"
"Honegger,  Arthur"
"Ballantine,  Edward"
"Luzzi,  Luigi"
"Lvovsky,"
"Telemann,  Georg  Philipp"
"Byrd,  William"
"Copland,  Aaron"
"Bottesini,  Giovanni"
"Bergson,  Michal"
"Ives,  Simon"
"Tcherepnin,  Alexander"
"Alvars,  Paris"
"Bach,  Johann  Christian"
"Braunfels,  Walter"
"Gardner,  Samuel"
"Tailleferre,  Germaine"
"Ilgenfritz,  McNair"
"Horst,  Louis"
"Mowrey,  Dent"
"Jonas,"
"Valverde,  Joaquin"
"Frey,  Hugo"
"Rieti,  Vittorio"
"Gebhard,  Heinrich"
"Tansman,  Alexandre"
"Poulenc,  Francis"
"Hindemith,  Paul"
"Gershwin,  George"
"Bax,  Sir  Arnold"
"Vivaldi-Bach,"
"Hasse,  Johann  Adolph"
"Valentini,  Giuseppe"
"Work,  Henry  Clay"
"Krenek,  Ernst"
"Gabriel-Marie,"
"Harling,  William  Franke"
"Drigo,  Riccardo"
"Rehfeld,"
"Harris,  Roy"
"Axt,  William"
"McCoy,  William  J."
"Collins,  Anthony"
"Delamarter,  Eric"
"Low,"
"Edelshtadt,"
"Raisin,  A."
"Shaeffer,  Joseph"
"Ibert,  Jacques"
"Wagenaar,  Bernard"
"Milhaud,  Darius"
"Szymanowski,  Karol"
"Zangius,  Nikolaus"
"Ives,  Charles"
"Gilmore,  Patrick  Sarsfield"
"Miaskovsky,  Nikolai"
"Janacek [Janácek],  Leoš"
"Certon,  Pierre"
"Abert,  Johann  Joseph"
"Luther,  Martin"
"Ward,  Samuel  Augustus"
"Alvarez,"
"Sonnett,"
"Tuerck,"
"Sturm-Biel,"
"Curti,"
"Spinelli,  Niccola"
"Ferroud,  Pierre  Octave"
"Mero,  Yolanda"
"Busch,  Adolf"
"Teschner,  Melchior"
"Kodaly [Kodály],  Zoltán"
"Brucken Fock,  Gerardus Hubertus Galenus  von"
"Striegler,  Kurt"
"Stearns,  Theodor"
"Kaminski,  Heinrich"
"Low,  Leo"
"Bensman,  M."
"Yasinowski,  P."
"Schaeffer,  J."
"Dubensky,  Arkady"
"Ehrenberg,  Carl  Emil Theodor"
"Nanino,  Giovanni  Maria"
"Darcieux,  Francisque"
"Ebeling,  Johann  Georg"
"Paisiello,  Giovanni"
"Geminiani,  Francesco"
"Phile,  Philip"
"Cui,  Cesar [César]"
"Halffter,  Ernesto"
"Espla [Esplá],  Oscar [Óscar]"
"Willis,  Wallis"
"Cimarosa,  Domenico"
"Lane,  Eastwood"
"Bowers,  Robert  Hood"
"Goublier,"
