work_id,name,role,instrument
51682*2,"D'Angri, Elena",S,Vocalist
4441*1,"D'Angri, Elena",S,Vocalist
4790*,"Schreiber, Louis",S,Cornet
4793*1,"Lotti, William",S,Tenor
8955*13,"Lotti, William",S,Tenor
4567*,"Hoffman, Richard",S,Piano
9187*2,"Lotti, William",S,Tenor
50738*,"Mills, Sebastian Bach",S,Piano
52502*,"Thomas, Theodore",S,Violin
4800*,Liederkranz of the City of New York,S,Mens Chorus
4802*,"Bergner, Frederick",S,Cello
4806*,Liederkranz of the City of New York,S,Mens Chorus
4811*,"Urso, Camilla",S,Violin
5643*,"Mason, William",S,Piano
2861*,Varian,S,Soprano
4182*,"Urso, Camilla",S,Violin
4825*,Liederkranz of the City of New York,S,Mens Chorus
1847*,"Hoffman, Richard",S,Piano
4822*,Liederkranz of the City of New York,S,Chorus
53976*3,"Perring, J. Ernst",S,Tenor
4290*1,Paulitsch,S,Soprano
4290*1,Liederkranz of the City of New York,S,Mens Chorus
51055*,"Mills, Sebastian Bach",S,Piano
9027*3,"Mills, Sebastian Bach",S,Piano
4854*,"Mills, Sebastian Bach",S,Piano
52502*,"Prume, Jehin",S,Violin
4862*,"Prume, Jehin",S,Violin
52487*,"Wehli, James M.",S,Piano
4867*,"Wehli, James M.",S,Piano
3718*1,"Poch, Carmelina",S,Soprano
52492*,"Hoffman, Richard",S,Piano
8839*6,"Poch, Carmelina",S,Soprano
3467*,"Brainerd, Maria S.",S,Soprano
4870*,"Mason, William",S,Piano
54030*2,"Brainerd, Maria S.",S,Soprano
54030*2,"Dietz, Frederick, Sr.",A,Trumpet
3467*,"Seelig, Natalie",S,Soprano
3548*,"Wolfsohn, Carl",S,Piano
8863*6,"Seelig, Natalie",S,Vocalist
8863*6,"Boehm, Edward",A,Clarinet
52502*,"Urso, Camilla",S,Violin
51049*1,"Groschel, Sophie",S,Piano
4874*,"Urso, Camilla",S,Violin
3163*,"Mason, William",S,Piano
3304*,"Kopta, Wenzel",S,Violin
4848*1,"Lotti, William",S,Tenor
3181*,"Mills, Sebastian Bach",S,Piano
8849*10,"Lotti, William",S,Tenor
51046*,"Mills, Sebastian Bach",S,Piano
4890*,"Mills, Sebastian Bach",S,Piano
9027*2,"Mills, Sebastian Bach",S,Piano
9003*6,"Timm, Henry C.",A,Piano
3354*,"Mason, William",S,Piano
3354*,"Guyon, Emile",S,Piano
4883*,Rotter,S,Soprano
4883*,"Steins, F.",S,Baritone
4883*,Liederkranz of the City of New York,S,Mens Chorus
50729*,"Mosenthal, Joseph",A,Piano
51049*,"Hoffman, Richard",S,Piano
52502*,"Urso, Camilla",S,Violin
50731*,"Topp, Alide",S,Piano
4149*,"Topp, Alide",S,Piano
551*,"Mills, Sebastian Bach",S,Piano
52461*,"Smith, H.M.",S,Soprano
52461*,"Mayer, Ella J.",S,Contralto
52461*,"Hill, W. J.",S,Tenor
52461*,"Duschnitz, M.",S,Bass
52461*,Harmonic Society,S,Chorus
8834*4,"Parepa-Rosa, Euphrosyne",S,Vocalist
8957*3,"Parepa-Rosa, Euphrosyne",S,Vocalist
4906*,Arion Choral Society,S,Mens Chorus
4910*,Arion Choral Society,S,Mens Chorus
2068*1,"Thomas, Theodore",S,Violin
4914*,Arion Choral Society,S,Mens Chorus
51479*2,"Phillipps, Adelaide",S,Contralto
181*3,"Phillipps, Adelaide",S,Contralto
2068*1,"Urso, Camilla",S,Violin
3548*,"Mills, Sebastian Bach",S,Piano
4928*,"Bull, Ole",S,Violin
4932*,"Bull, Ole",S,Violin
8837*85,"La Grange, Anna De",S,Soprano
8999*4,Arion Choral Society,A,Chorus
8999*4,Liederkranz of the City of New York,A,Chorus
8849*12,"La Grange, Anna De",S,Soprano
4441*1,"Gazzaniga, Marietta",S,Vocalist
52495*,"Hoffman, Richard",S,Piano
4949*,"Gazzaniga, Marietta",S,Vocalist
4949*,Albites,A,Piano
3163*,"Jarvis, Charles H.",S,Piano
878*,"Booth, Edwin",S,Speaker
878*,Liederkranz of the City of New York,A,SATB Chorus
51046*,"Topp, Alide",S,Piano
5801*,"Siddons, Scott",S,Narrator
5801*,Chorus,S,Womens Chorus
51095*1,"Bull, Ole",S,Violin
3181*,"Mills, Sebastian Bach",S,Piano
4957*,"Bull, Ole",S,Violin
3453*2,"Kellogg, Clara Louise",S,Soprano
3548*,"Mehlig, Anna",S,Piano
8957*3,"Kellogg, Clara Louise",S,Soprano
4968*,"Rietzel, F.",A,Flute
4968*,"Ohlemann, L.",A,Oboe
